id,author_id,conversation_id,text,created_at,author_handle,total_engagement,category,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1370378372266795008,118666416,1370378372266795008,Vanmiddag was ik bij de @dehogeschoolede met studenten in gesprek over de coronamaatregelen. De impact is groot. Het is belangrijk dat er in het hoger onderwijs snel versoepelingen doorgevoerd worden. https://t.co/EkQA6oDTep,2021-03-12T14:17:19.000Z,keesvdstaaij,0.00171534432678453,,13,26,108,3
1370741940937965571,367703310,1370741940937965571,We zijn pas halverwege de dag en nu al weer meer dan 200 nieuwe leden! Het gaat echt zó hard! #FVD stoomt op naar 17 maart met EXTREEM GOEDE VIBES! https://t.co/Ha8Zg1uZlm,2021-03-13T14:22:00.000Z,thierrybaudet,0.005192285520043574,,211,70,1019,6
1372171737140453385,2822530175,1372171737140453385,Twijfelt u nog? Bekijk onze standpunten en ons verkiezingsprogramma hier! https://t.co/VWBt6tMZOc #FVD #StemFVD,2021-03-17T13:03:30.000Z,fvdemocratie,0.009024509748065769,,169,43,574,6
1369966333224488961,811509459310747648,1369966333224488961,"Meer mensen op of rond het minimumloon kunnen nauwelijks de eindjes aan elkaar knopen. Dit kan en mag niet in een welvarend land zoals Nederland. BIJ1 pleit daarom dat het minimumloon onmiddellijk wordt verhoogd naar 14 euro per uur. 

#Kiesvoor14 @voor_14 https://t.co/yhq3dkAbw6",2021-03-11T11:00:01.000Z,PolitiekBIJ1,0.015345518522138599,,38,7,110,2
1359134810984353794,17422867,1359134810984353794,"Racisme, homohaat, seksisme, antisemitisme. Maar Baudet snapt niets van de ophef.

Als dit nog geen reden is voor CDA &amp; VVD om te stoppen met de samenwerking met FvD in Brabant, wat dan wel?

https://t.co/mt079wAJpA",2021-02-09T13:39:25.000Z,jesseklaver,0.004668181561564952,,150,368,741,64
1366140858827956228,11836402,1366140858827956228,"Mark Rutte laat zien waarom je klimaatbeleid niet aan rechts kunt overlaten.

#RTLdebat",2021-02-28T21:38:57.000Z,groenlinks,0.0018231731595381294,,33,48,173,7
1365008775686590475,1336988716515155969,1365008775686590475,"Eindelijk!

Het voorstel van @CorinneEllemeet en mijzelf om de verplichte vijf dagen bedenktijd voor abortus te schrappen is aangenomen. Want vrouwen kunnen echt prima zelf beslissen hoeveel bedenktijd ze nodig hebben. Daar is geen wet voor nodig.",2021-02-25T18:40:27.000Z,PloumenLilianne,0.16657971230528434,,186,84,1910,55
1367097131367079938,223455196,1367097131367079938,"In deze vlog legt @LianedenHaan uit wat @50PLUSpartij wil. Gewoon in heldere taal. Geen moeilijke woorden dus. Kijk even mee! 
En hier kun je lezen wat 50PLUS wil, ook in begrijpelijke taal: https://t.co/N3C94nE3CK https://t.co/UiYZYBz7VK",2021-03-03T12:58:50.000Z,50pluspartij,0.0035434814705448104,,7,4,11,2
1371153784345346048,118084079,1371153784345346048,Net Limburgs #verkiezingsdebat gehad bij @omroeppenm in Panningen. Was een goed debat waarin #BBB een duidelijke stem van én voor het (Limburgse platteland) heeft laten horen! Uitzending morgen (15 maart) om 20.00 uur op Omroep P&amp;M https://t.co/1spYU0285S,2021-03-14T17:38:31.000Z,lientje1967,0.0008195813489865987,,3,1,33,0
1369948453250473994,966790780869316608,1369948453250473994,"Het is wat Volt betreft de hoogste tijd voor een Constitutioneel Hof. Grondrechten van onze burgers - ál onze burgers - verdienen een betere bescherming. 
En meer aandacht voor de Grondwet in ons collectieve geheugen!  @ngundogan77 @DeBalie 
Kijk terug: 
https://t.co/s1dozuqmc5",2021-03-11T09:48:58.000Z,VoltNederland,0.005250262513125656,,10,6,57,2
